Société;Numéro de TVA;Email;Ville
Établissements Thiry;BE0432156081;contact@thiry-sa.be;Sombreffe
Boucherie Léonard;BE0583267730;boucherie.leonard@skynet.be;Andenne
Crèche Les Coccinelles;BE0734379476;direction@lescoccinelles.be;Floreffe
Ébénisterie Marchand;BE04521987;atelier@ebenisterie-marchand.be;Mettet
Cabinet Médical Dohet;BE0885491125;secretariat@cabinet-dohet.be;Walcourt
Menuiserie Thiry & Fils;BE0186602858;info(at)menuiserie-thiry.be;Sombreffe
Garage Lambotte;BE0337714507;garage.lambotte@proximus.be;Philippeville
Bureau Comptable Lemaire;BE0529739665;accueil@comptable-lemaire.be;Namur
Pépinières Delvigne;BE0488826253;commandes@pepinieres-delvigne.be;Anhée
Auberge du Val Mosan;BE0639937902;reservation@valmosan.be;Hastière
Société Hôtelière Namuroise;FR0821450398;contact@hotel-namur.be;Namur
Institut Sainte-Begge;BE0791049648;economat@sainte-begge.be;Andenne
Électricité Detry;BE0942161394;jm.detry@;Jemeppe-sur-Sambre
Toiture & Zinguerie Massaux;BE0243273030;bureau@massaux-toiture.be;Couvin
Assurances Piret & Fils;BE0394384776;contact@assurances-piret.be;Ciney
Ferronnerie d'Art Gilson;BE0912-345-678;atelier@gilson-ferronnerie.be;Bièvre
Librairie du Beffroi;BE0545496425;librairie@beffroi.be;Namur
Fleuriste Au Jardin d'Éole;BE0696608171;boutique@aujardindeole.be;Gembloux
Cabinet Dentaire Nollet;BE0847719820;rdv@dentaire-nollet.be;Onhaye
Carrelages Bodart;BE0148831553;showroom@carrelages-bodart.be;Eghezée
Librairie du Beffroi (Namur);BE0545496425;contact@librairie-beffroi.be;Namur
Imprimerie Numérique Wallonie;BE0299943202;devis@imprimerie-wallonie.be;Gembloux
Home Les Quatre Saisons;BE0451054948;direction@4saisons.be;Profondeville
Nettoyage Écologique Vert & Net;BE0602166694;planning@vert-et-net.be;Namur
Traiteur La Bonne Fourchette;BE0753278343;commandes@bonnefourchette.be;Dinant
